site_id,type,count
271,Obsidian,11
272,White Chert,3
272,Obsidian,10
273,Dacite,4
273,Obsidian,7
274,White Chert,3
274,Dacite,5
274,Obsidian,13
275,Dacite,3
275,Obsidian,11
276,Gray Chert,3
276,Obsidian,8
277,Obsidian,12
278,Obsidian,10
279,Yellow Chert,2
279,Obsidian,9
280,Obsidian,6
281,Yellow Chert,3
281,Obsidian,9
282,Yellow Chert,2
282,Dacite,4
282,Obsidian,13
283,Obsidian,11
284,Obsidian,13
285,Obsidian,7
286,Yellow Chert,2
286,Dacite,2
286,Obsidian,19
287,Obsidian,10
288,Red Chert,2
288,Yellow Chert,2
288,Obsidian,12
289,Obsidian,14
290,Dacite,6
290,Obsidian,10
291,Obsidian,8
292,Obsidian,11
293,Dacite,3
293,Obsidian,9
294,Yellow Chert,3
294,Obsidian,17
